cohort,id,ticker,stage,detected_at,detected_at_iso,price,actionable_rank,quality_label,quality_score,ross_score,rv15,change_5s_pct,change_15s_pct,change_30s_pct,timeliness_label,coverage,classification,stored_max_1m_pct,stored_max_5m_pct,stored_max_15m_pct,stored_time_to_peak_seconds,first_ts,last_ts,return_30s_pct,mfe_30s_pct,mae_30s_pct,return_60s_pct,mfe_60s_pct,mae_60s_pct,return_120s_pct,mfe_120s_pct,mae_120s_pct,return_300s_pct,mfe_300s_pct,mae_300s_pct,return_900s_pct,mfe_900s_pct,mae_900s_pct
ACTIONABLE,82908,SNAP,EARLY,1786994081.0,2026-08-17T19:14:41+00:00,5.24,A,CLEAN,82,75,16.972422438107177,0.09551098376312517,0.09551098376312517,0.0,PRE_IGNITION,PROVISIONAL_5M,PROVISIONAL_MIXED,0.0,0.0,,,1786992870.0,1786994445.0,-0.16793893129770643,0.0,-0.2003816793893165,-0.1908396946564861,0.0,-0.2003816793893165,-0.17938931297710736,0.0,-0.20610687022901697,-0.1316793893129775,0.0,-0.20610687022901697,,0.0954198473282375,-0.20610687022901697
ACTIONABLE,82910,MUD,EARLY,1786994081.0,2026-08-17T19:14:41+00:00,9.985,A,CLEAN,82,75,70.84649122807018,0.1002506265664227,0.05010020040079333,0.0,PRE_IGNITION,PROVISIONAL_5M,PROVISIONAL_MIXED,0.0,0.0,,,1786992885.0,1786994445.0,0.0,-0.05007511266899023,-0.11316975463194767,-0.20030045067600533,0.050075112669012434,-0.1502253380069929,-0.20030045067600533,0.050075112669012434,-0.22734101151725694,-0.05007511266899023,0.050075112669012434,-0.3505257886830315,,0.050075112669012434,-0.3505257886830315
ACTIONABLE,82924,BBAI,EARLY,1786994081.0,2026-08-17T19:14:41+00:00,3.195,A,CLEAN,82,75,70.34391534391534,0.15673981191222097,0.09398496240600185,0.0,PRE_IGNITION,PROVISIONAL_5M,PROVISIONAL_MIXED,0.15649452269170805,0.15649452269170805,,1.3441150188446045,1786992870.0,1786994445.0,-0.07824726134585402,0.15649452269170805,-0.15649452269169695,-0.07511737089200832,0.15649452269170805,-0.15649452269169695,0.0,0.15649452269170805,-0.15649452269169695,0.22535211267606936,0.46948356807512415,-0.15649452269169695,,0.46948356807512415,-0.15649452269169695
ACTIONABLE,82150,SG,BREAKOUT,1786993780.0,2026-08-17T19:09:40+00:00,5.9,A,CLEAN,82,88,191.74,0.0,0.0,0.0,PRE_IGNITION,PROVISIONAL_5M,PROVISIONAL_MIXED,0.0,0.3389830508474523,,301.1111979484558,1786992570.0,1786994445.0,0.16949152542371504,0.16949152542371504,-0.30508474576271816,0.3372881355932167,0.3389830508474523,-0.30508474576271816,0.3389830508474523,0.3389830508474523,-0.30508474576271816,0.1491525423728879,0.5932203389830359,-0.30508474576271816,,0.5932203389830359,-0.30508474576271816
ACTIONABLE,82007,PDM,EARLY,1786993509.0,2026-08-17T19:05:09+00:00,9.285,A,CLEAN,82,75,12.172413793103448,0.0269323996768156,0.1348072256672772,0.0,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786992300.0,1786994460.0,0.0,0.0,-0.18093699515346895,-0.04308023694129526,0.0,-0.18093699515346895,0.0,0.0,-0.18093699515346895,-0.017232094776520324,0.03984921917070672,-0.18093699515346895,0.1615508885298933,0.1615508885298933,-0.18093699515346895
ACTIONABLE,81979,NWL,EARLY,1786993508.0,2026-08-17T19:05:08+00:00,6.0967,A,CLEAN,82,75,9.15,-0.05409836065572993,0.027891714520111854,0.0,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786992300.0,1786994460.0,-0.00492069480211299,0.054127642823154076,-0.10989551724703839,-0.027883937211947707,0.054127642823154076,-0.10989551724703839,0.014762084406316767,0.054127642823154076,-0.10989551724703839,-0.27391867731724195,0.13613922285826696,-0.27391867731724195,-0.4051372053733959,0.13613922285826696,-0.6019649974576491
ACTIONABLE,81943,ASAN,EARLY,1786993507.0,2026-08-17T19:05:07+00:00,8.785,A,CLEAN,82,75,20.68,0.04213499140217625,0.017077474810722748,0.0,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786992300.0,1786994460.0,0.0034149117814408214,0.11383039271484208,-0.04211724530449601,0.11383039271484208,0.11383039271484208,-0.04211724530449601,0.22766078542970636,0.26977803073420237,-0.04211724530449601,0.4553215708594127,0.4553215708594127,-0.04211724530449601,0.569151963574277,0.626067159931698,-0.04211724530449601
ACTIONABLE,81913,JBLU,BREAKOUT,1786993506.0,2026-08-17T19:05:06+00:00,5.31,A,CLEAN,100,100,39.96993006993007,0.3780718336483746,0.3780718336483746,0.0,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786992300.0,1786994460.0,-0.09416195856873921,-0.037664783427493465,-0.2372881355932166,-0.062146892655357,0.0,-0.2372881355932166,0.18832391713747842,0.18832391713747842,-0.2372881355932166,0.11676082862523973,0.37664783427495685,-0.2372881355932166,0.37664783427495685,0.5649717514124353,-0.2372881355932166
ACTIONABLE,81887,SOUN,EARLY,1786993505.0,2026-08-17T19:05:05+00:00,7.06,A,CLEAN,82,88,17.842962962962964,0.19585024552239982,0.0,0.0,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786992300.0,1786994460.0,-0.07082152974504652,-0.028328611898009726,-0.2932011331444717,-0.07082152974504652,0.0,-0.2932011331444717,-0.14164305949008194,0.0,-0.2932011331444717,-0.21104815864022575,0.0,-0.2932011331444717,-0.21246458923512845,0.0,-0.4957507082152923
ACTIONABLE,81430,IQ,BREAKOUT,1786993258.0,2026-08-17T19:00:58+00:00,1.3399,A,CLEAN,100,88,597.56,0.5704420926217812,0.5704420926217812,0.0,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786992060.0,1786994445.0,-0.3656989327561866,0.007463243525629437,-0.7388611090379915,0.007463243525629437,0.007463243525629437,-0.7388611090379915,-0.7388611090379915,0.007463243525629437,-0.7388611090379915,-0.3656989327561866,0.007463243525629437,-0.7388611090379915,-1.4851854616016125,0.007463243525629437,-1.4851854616016125
ACTIONABLE,81048,RLX,EARLY,1786993032.0,2026-08-17T18:57:12+00:00,1.845,A,CLEAN,82,88,33.2589641434263,0.12481684484724198,0.14655593551538004,0.0,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991835.0,1786994220.0,0.27100271002711285,0.27100271002711285,-0.08130081300813385,-0.059620596205955945,0.27100271002711285,-0.08130081300813385,-0.043360433604333615,0.27100271002711285,-0.08130081300813385,0.5420054200542035,0.8130081300813163,-0.27100271002709064,0.8130081300813163,0.8130081300813163,-0.27100271002709064
ACTIONABLE,80911,MFIC,EARLY,1786993026.0,2026-08-17T18:57:06+00:00,9.74,A,CLEAN,82,88,164.76,0.10277492291881352,0.15424164524422412,0.0,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991820.0,1786994220.0,0.10266940451744144,,,0.05133470225870962,0.10266940451744144,-0.06365503080082435,-0.043121149897340505,0.10266940451744144,-0.06365503080082435,0.06160164271047375,0.10266940451744144,-0.06365503080082435,0.1622176591375757,0.2053388090349051,-0.06365503080082435
ACTIONABLE,80887,LENZ,EARLY,1786993025.0,2026-08-17T18:57:05+00:00,4.7289,A,CLEAN,82,75,7.860262008733624,0.29480381760340624,0.5079702444208412,0.0,AT_IGNITION,FINAL_15M,MIXED,,,,,1786991835.0,1786994205.0,-0.39967011355707127,-0.36372094990377857,-0.39967011355707127,-0.18820444500836642,0.02326122354034954,-0.39967011355707127,-0.08247161073401399,0.02326122354034954,-0.4165873670409659,0.02326122354034954,0.12899405781472417,-0.4165873670409659,0.2347268920890766,0.2347268920890766,-0.4165873670409659
ACTIONABLE,80815,PLUG,EARLY,1786993020.0,2026-08-17T18:57:00+00:00,2.245,A,CLEAN,82,75,10.825132475397426,0.21426658334076087,0.672645739910327,0.672645739910327,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991820.0,1786994205.0,-0.22271714922048602,0.22271714922048602,-0.2360801781737254,-0.22271714922048602,0.22271714922048602,-0.2360801781737254,0.22271714922048602,0.22271714922048602,-0.2360801781737254,0.0,0.22271714922048602,-0.2360801781737254,-0.6681514476614803,0.22271714922048602,-0.6681514476614803
ACTIONABLE,80577,FINV,BREAKOUT,1786992838.0,2026-08-17T18:53:58+00:00,4.33,A,CLEAN,82,88,29.5,0.11560693641619046,0.23380170837288272,0.23380170837288272,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991700.0,1786994025.0,-0.11547344110853786,-0.07852193995381285,-0.15011547344110365,-0.11547344110853786,-0.07852193995381285,-0.15011547344110365,-0.12702078521941162,0.0,-0.2309468822170868,0.0,0.0,-0.2309468822170868,-0.08314087759816458,0.11547344110853786,-0.2309468822170868
ACTIONABLE,80603,ABAT,BREAKOUT,1786992838.0,2026-08-17T18:53:58+00:00,2.425,A,CLEAN,82,88,46.06,0.1610838048820673,0.20247097227386046,0.20661157024792765,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991625.0,1786994025.0,-0.13195876288658592,0.0,-0.20618556701030855,0.0,0.20618556701033075,-0.20618556701030855,-0.004123711340198177,0.20618556701033075,-0.20618556701030855,0.0,0.20618556701033075,-0.20618556701030855,-0.20618556701030855,0.20618556701033075,-0.20618556701030855
